n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 21506.00,1.00, 0,
 600, 21491.00,61.00, 13,
 900, 21511.00,96.00, 20,
 200, 21484.00,21.00, 6,
 700, 21497.00,68.00, 14,
 50, 21482.00,5.00, 0,
 300, 21479.00,28.00, 6,
 400, 21500.00,37.00, 5,
 500, 21478.00,54.00, 10,
 800, 21525.00,80.00, 10,
 100, 21505.00,12.00, 3,
 1000, 21597.00,103.00, 19,
