n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 15690.00,3.00, 2,
 600, 15647.00,142.00, 99,
 900, 15692.00,194.00, 120,
 200, 15674.00,23.00, 27,
 700, 15682.00,102.00, 89,
 50, 15683.00,5.00, 3,
 300, 15697.00,35.00, 28,
 400, 15699.00,60.00, 42,
 500, 15669.00,65.00, 61,
 800, 15650.00,104.00, 79,
 100, 15663.00,14.00, 15,
 1000, 15671.00,154.00, 139,
