n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 21535.00,1.00, 0,
 600, 21473.00,61.00, 13,
 900, 21499.00,96.00, 20,
 200, 21513.00,21.00, 6,
 700, 21474.00,68.00, 14,
 50, 21485.00,5.00, 0,
 300, 21504.00,27.00, 6,
 400, 21494.00,36.00, 5,
 500, 21493.00,54.00, 10,
 800, 21512.00,80.00, 10,
 100, 21456.00,12.00, 3,
 1000, 21487.00,100.00, 19,
