model,CT(Box),CT(Sphere),CT(kDop),CT(kCBP),CT(Convexhull),init(Box),init(Sphere),init(kDop),init(kCBP),init(Convexhull),CD(Box),CD(Sphere),CD(kDop),CD(kCBP),CD(Convexhull),hitRate(Box),hitRate(Sphere),hitRate(kDop),hitRate(kCBP),hitRate(Convexhull),initAfterBox(kDop),initAfterBox(kCBP),initAfterBox(Convexhull),CDAfterBox(kDop),CDAfterBox(kCBP),CDAfterBox(Convexhull),ModelCDNum,point,triangle,
models/happy_buddha.obj , 2.00, 3.00, 29.00, 63.00, 308.00, 743.60, 967.08, 456.56, 470.16, 568.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.3333, 0.2308, 0.7500, 1.0000, 1.0000, 456.56, 470.16, 568.16, 0.00, 0.00, 0.00, 3, 24810, 50000,
models/dinosaur.obj , 3.00, 5.00, 49.00, 93.00, 506.00, 617.40, 1110.92, 255.56, 264.36, 346.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0.3333, 0.0909, 1.0000, 1.0000, 1.0000, 255.56, 264.36, 346.96, 0.00, 0.00, 0.00, 1, 40277, 80554,
models/bunny2.obj , 0.00, 0.00, 3.00, 27.00, 78.00, 92.48, 119.68, 67.32, 89.08, 118.32, 1.00, 0.00, 0.00, 0.00, 1.00, 0.4167, 0.3571, 0.7692, 0.7143, 0.8333, 67.32, 89.08, 118.32, 0.00, 0.00, 1.00, 10, 2503, 4968,
models/alice.obj , 14.00, 28.00, 270.00, 472.00, 2189.00, 3536.56, 6632.80, 2728.32, 2792.96, 3342.40, 3.00, 3.00, 3.00, 2.00, 3.00, 0.7500, 0.2143, 1.0000, 1.0000, 1.0000, 2728.32, 2792.96, 3342.40, 3.00, 2.00, 3.00, 3, 224291, 264046,
models/dragon.obj , 6.00, 11.00, 104.00, 187.00, 958.00, 3213.60, 5357.00, 2532.24, 2562.12, 2839.68, 0.00, 0.00, 0.00, 0.00, 1.00, 0.6000, 0.4000, 0.8571, 1.0000, 1.0000, 2532.24, 2562.12, 2839.68, 0.00, 0.00, 1.00, 6, 87257, 174281,
models/apple.obj , 1.00, 1.00, 10.00, 44.00, 118.00, 133.48, 122.44, 104.16, 120.48, 156.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.6667, 0.6667, 0.8889, 1.0000, 1.0000, 104.16, 120.48, 156.00, 0.00, 0.00, 0.00, 8, 8118, 9380,
models/hand.obj , 4.00, 8.00, 74.00, 146.00, 1006.00, 1741.96, 3235.64, 1510.40, 1530.56, 1523.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.2857, 0.1429, 0.5000, 0.5000, 0.6667, 1510.40, 1530.56, 1523.08, 0.00, 0.00, 0.00, 2, 64349, 128314,
