n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 12745.00,1.00, 0,
 600, 12707.00,66.00, 48,
 900, 12756.00,100.00, 70,
 200, 12703.00,22.00, 13,
 700, 12710.00,74.00, 53,
 50, 12772.00,5.00, 2,
 300, 12739.00,33.00, 20,
 400, 12759.00,42.00, 26,
 500, 12737.00,54.00, 36,
 800, 12698.00,85.00, 62,
 100, 12734.00,10.00, 4,
 1000, 12704.00,107.00, 72,
