n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 39596.00,1.00, 0,
 600, 39655.00,73.00, 41,
 900, 39676.00,112.00, 62,
 200, 39587.00,24.00, 14,
 700, 39526.00,84.00, 48,
 50, 39730.00,5.00, 1,
 300, 39508.00,36.00, 20,
 400, 39394.00,49.00, 27,
 500, 39553.00,62.00, 33,
 800, 39557.00,98.00, 55,
 100, 39588.00,11.00, 3,
 1000, 39733.00,120.00, 64,
