n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 945.00,2.00, 2,
 600, 942.00,60.00, 122,
 900, 945.00,93.00, 191,
 200, 952.00,20.00, 43,
 700, 944.00,71.00, 147,
 50, 971.00,5.00, 11,
 300, 966.00,30.00, 62,
 400, 953.00,40.00, 82,
 500, 944.00,50.00, 102,
 800, 943.00,82.00, 170,
 100, 954.00,10.00, 20,
 1000, 944.00,101.00, 202,
