n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 39575.00,1.00, 0,
 600, 39471.00,71.00, 41,
 900, 39629.00,109.00, 62,
 200, 39563.00,28.00, 14,
 700, 39524.00,85.00, 48,
 50, 39535.00,4.00, 1,
 300, 39486.00,36.00, 20,
 400, 39533.00,50.00, 27,
 500, 39588.00,62.00, 33,
 800, 39524.00,98.00, 55,
 100, 39602.00,11.00, 3,
 1000, 39524.00,120.00, 64,
