n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 12715.00,1.00, 0,
 600, 12769.00,65.00, 48,
 900, 12733.00,100.00, 70,
 200, 12787.00,22.00, 13,
 700, 12784.00,76.00, 53,
 50, 12753.00,5.00, 2,
 300, 12731.00,36.00, 20,
 400, 12740.00,43.00, 26,
 500, 12757.00,54.00, 36,
 800, 12757.00,86.00, 62,
 100, 12737.00,10.00, 4,
 1000, 12688.00,106.00, 72,
