n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 3795.00,1.00, 1,
 600, 3802.00,66.00, 113,
 900, 3826.00,99.00, 182,
 200, 3796.00,23.00, 39,
 700, 3800.00,77.00, 141,
 50, 3818.00,5.00, 8,
 300, 3814.00,33.00, 56,
 400, 3858.00,44.00, 73,
 500, 3791.00,56.00, 92,
 800, 3795.00,88.00, 159,
 100, 3808.00,11.00, 18,
 1000, 3824.00,108.00, 194,
