n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 969.00,1.00, 2,
 600, 941.00,61.00, 122,
 900, 940.00,94.00, 191,
 200, 964.00,20.00, 43,
 700, 944.00,70.00, 147,
 50, 946.00,5.00, 11,
 300, 963.00,31.00, 62,
 400, 940.00,64.00, 82,
 500, 939.00,52.00, 102,
 800, 941.00,81.00, 170,
 100, 948.00,11.00, 20,
 1000, 944.00,102.00, 202,
